Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Product Category,Add Ons,,,,,
,,,,,,
,,,,Values,,
Product Of (Primary Service),Primary Service Category,Internal Product Name,Internal Notes for Sales,One Time Fees,Annual Fees,Transaction Fees
,,IntegraDestiny - Consumer Credit Reports - 2B,(MCL-181),0,,0.4
,,IntegraDestiny - Consumer Credit Reports - 3B,(MCL-181),0,,0.5
,,Laser Credit - Consumer Credit Reports - 1B,(blank),0,,0.75
,,Laser Credit - Consumer Credit Reports - 2B,(blank),0,,1
,,Laser Credit - Consumer Credit Reports - 3B,(blank),0,,1.25
,,Lending Pad - UDN,Billing is for new transactions only,0,,1.5
,,Lending Pad - VOA,Billing is for new transactions only,0,,1.5
,,Lending Pad - VOD,Billing is for new transactions only,0,,1.5
,,LendingPad - 4506-T,Billing is for new transactions only,0,,1.5
,,LendingPad - Consumer Credit Reports,Billing is for new transactions only,0,,1.5
,,LendingPad - Flood,Billing is for new transactions only,0,,1.5
,,LendingPad - IDV,Billing is for new transactions only,0,,1.5
,,LendingPad - VOE,Billing is for new transactions only,0,,1.5
,,LendingPad - VOI,Billing is for new transactions only,0,,1.5
,,Lendwize - Consumer Credit Reports,(blank),0,,
,,Mortage Builder - Consumer Credit Reports - 1B,"Only transactions for new credit (MCL-
181)",0,,0.33
,,Mortage Builder - Consumer Credit Reports - 2B,"Only transactions for new credit (MCL-
181)",0,,0.66
,,Mortage Builder - Consumer Credit Reports - 3B,"Only transactions for new credit (MCL-
181)",0,,1
,,Mortgage Cadence - Consumer Credit Reports - 1B,(blank),0,,0.2
,,Mortgage Cadence - Consumer Credit Reports - 2B,(blank),0,,0.35
,,Mortgage Cadence - Consumer Credit Reports - 3B,(blank),0,,0.5
,,Mortgage Director (fka PCLender) - 1B,Pricing effective 3/1/2021,0,,0.25
,,Mortgage Director (fka PCLender) - 2B,Pricing effective 3/1/2021,0,,0.5
,,Mortgage Director (fka PCLender) - 3B,Pricing effective 3/1/2021,0,,1
,,Mortgage Flex - Consumer Credit Reports - 1B,"Only transactions for new credit (MCL-
181)",0,,0.4
,,Mortgage Flex - Consumer Credit Reports - 2B,"Only transactions for new credit (MCL-
181)",0,,0.4
,,Mortgage Flex - Consumer Credit Reports - 3B,"Only transactions for new credit (MCL-
181)",0,,0.4
,,Mortgage Panda - Consumer Credit Reports,(blank),0,,
,,MortgageBot - Consumer Credit Reports - 1B,(MCL-181),0,,0.5
,,MortgageBot - Consumer Credit Reports - 2B,(MCL-181),0,,0.65
,,MortgageBot - Consumer Credit Reports - 3B,(MCL-181),0,,0.75
,,Point - Consumer Credit Reports - DirectConnect,"We only bill if ""MeridianLink"" is
selected as the credit provider in Point.
If a user selects a CRA's entry, Calyx
will bill the CRA directly. Both new and
reissue transactions. For
DirectConnect only transactions from
DEMO are included. (MCL-181). For
WebConnect, unsure if same
transaction filtering logic is same as
Point DirectConnect.",0,,1.15
,,Point - Consumer Credit Reports - WebConnect,"We only bill if ""MeridianLink"" is
selected as the credit provider in Point.
If a user selects a CRA's entry, Calyx
will bill the CRA directly. Both new and
reissue transactions. For
DirectConnect only transactions from
DEMO are included. (MCL-181). For
WebConnect, unsure if same
transaction filtering logic is same as
Point DirectConnect.",0,,1.73
,,PreApp - Consumer Credit Reports,"Both new and reissue transactions
(MCL-181)",0,,1
,,PrudentCo - Consumer Credit Reports,FrameLogic dba PrudentCo,0,,
,,ReverseVision - Consumer Credit Reports - 1B,"Both new and reissue transactions
(MCL-181)",0,,0.25
,,ReverseVision - Consumer Credit Reports - 2B,"Both new and reissue transactions
(MCL-181)",0,,0.35
,,ReverseVision - Consumer Credit Reports - 3B,"Both new and reissue transactions
(MCL-181)",0,,0.5
,,Shape Software - Consumer Credit Reports,(blank),0,,0
,,Targeted Lender Fannie Mae T1,"Fee becomes $2.78 if invoice is overdue. Includes: Desktop Underwriter, Desktop Originator, EarlyCheck. Requires Targeted Lender addendum.",0,,2.32
,,Targeted Lender Fannie Mae T2,"Fee becomes $2.78 if invoice is overdue. Includes: Desktop Underwriter, Desktop Originator, EarlyCheck. Requires Targeted Lender addendum.",0,,2.42
,,Targeted Lender Fannie Mae T3,"Fee becomes $2.78 if invoice is overdue. Includes: Desktop Underwriter, Desktop Originator, EarlyCheck. Requires Targeted Lender addendum.",0,,2.53
